counter,rawValue
0,-2048
1,-2048
2,-2048
3,-2048
4,2047
5,2047
6,2047
7,-2048
8,2047
9,2047
10,2047
11,2047
12,2047
13,2047
14,-2048
15,2047
16,-267
17,-2048
18,-2048
